Aanvraag,DRAFT,2021-04-19 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-18 14:36:27.048202+02,Uitleg Deadline,Dit is een voorbeeld van de zakelijke context,Dit is een voorbeeld van de legale context.,Dit is een voorbeeld van de functionele setup.,Dit is een voorbeeld van de technische setup.,FALSE,,FALSE,,,,,NOT_SET,,,NOT_SET,,,5,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Uitbreiding Koningin Elisabethpark,IN_REVIEW,2021-04-20 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-19 14:36:27.048202+02,Uitleg Deadline,Koningin Mathilde verdient een groter park.,Ik ben de ALMACHTIGE koning,Meer bankjes om op te rusten.,Uitbreiden van de grenzen van het park.,FALSE,,FALSE,,,,ftpaccount-voorbeeld,NOT_SET,MID,,NOT_SET,,,1,,TRUE,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,Peter,Philip,Nina,NOT_SET,MAGDA_ONLINE_PRO,,,
Meer DIWI in opleiding Informatica,DRAFT,2021-04-21 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-20 14:36:27.048202+02,Uitleg Deadline,Dit is een voorbeeld van de zakelijke context,Dit is een voorbeeld van de legale context.,Dit is een voorbeeld van de functionele setup.,Dit is een voorbeeld van de technische setup.,FALSE,,FALSE,,,,,NOT_SET,,,NOT_SET,,,2,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Meer ijsjes tijdens de bestuursraad,DRAFT,2021-04-22 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-21 14:36:27.048202+02,Uitleg Deadline,Meer ijsjes -> meer focus,Dit is een voorbeeld van de legale context.,Dit is een voorbeeld van de functionele setup.,Dit is een voorbeeld van de technische setup.,FALSE,,FALSE,,,,,FALSE,,,NOT_SET,,,3,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Vervroeging lesuren,DRAFT,2021-04-23 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-22 14:36:27.048202+02,Uitleg Deadline,Als de leerlingen vroeger opstaan dan zijn ze aandachtiger.,Dit is een voorbeeld van de legale context.,Dit is een voorbeeld van de functionele setup.,Dit is een voorbeeld van de technische setup.,FALSE,,FALSE,,,,,FALSE,,,NOT_SET,,,3,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Proposal Met Description: accepted,DRAFT,2021-04-24 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-23 14:36:27.048202+02,Uitleg Deadline,string,string,string,string,TRUE,Dit is de reden waarom we persoonlijke data nodig hebben.,TRUE,string,string,string,string,TRUE,LOW,,NOT_SET,string,,1,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Proposal Met Description,DRAFT,2021-04-25 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-24 14:36:27.048202+02,Uitleg Deadline,string,string,string,string,TRUE,dit is een beschrijving,TRUE,string,string,string,string,TRUE,LOW,,NOT_SET,string,,1,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Proposal Met Description actually for real,DRAFT,2021-04-26 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-25 14:36:27.048202+02,Uitleg Deadline,string,string,string,string,TRUE,dit is een beschrijving,TRUE,string,string,string,string,TRUE,LOW,,NOT_SET,string,,1,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Aanvraag om aanvraag toe te voegen,ACCEPTED,2021-04-27 14:36:27.048202+02,2021-04-27 14:36:27.048202+02,2021-04-26 14:36:27.048202+02,Het moet tegen *insert date* klaar zijn omdat we moeten kunnen aanvragen toevoegen voor Milestone 2.,Deze aanvraag dient om het ontwikkelen van aanvragen te vereenvoudigen,Er is hier niet echt een legaal kader rond.,De functie van een aanvraag aan databank toevoegen is tweevoudig:\nEr kan makkelijker gecontroleerd worden of alle frontend-features werken. Ook kunnen we zo de timesheet van Arno nog wat extra boosten.,We voegen via PGAdmin een extra proposal toe. Daarna exporteren we die als .csv en voegen we die toe aan het autofill-script.,TRUE,We hebben persoonlijke data nodig om door te verkopen aan advertisers. Dit levert ons een extra zakcentje op.,TRUE,TAN-185948KEI55-67,https://ikhebgeenideewaaroverditgaat.be/watiseen/tannumber,Er was eigenlijk nooit echt een legale context voor deze aanvraag. Ik verzon maar wat.,gust@megusta.be,TRUE,HIGH,Klinkt goed. Aanvraag goedgekeurd.,NOT_SET,Hier staat wat uitleg over de architectuur. Een mooi diagrammetje met daarbij wat extra velden en commentaar op de 2de pagina.,,1,,NOT_SET,,,,,,NOT_SET,NOT_SET,NOT_SET,NOT_SET,,,,NOT_SET,,,,
Volledig ingevulde aanvraag,COMPLETED,2021-05-16 02:00:00+02,2021-04-27 14:36:27.048202+02,2021-05-16 02:00:00+02,Uitleg Deadline,Dit is een beschrijving: Arno was hier origineel maar ik niet zo.,Ja hoor,Dit is een voorbeeld van de functionele setup.,Dit is een voorbeeld van de technische setup.,TRUE,De juridische context is dat we aangeklaagd gaan worden als deze aanvragen op niets trekken.,TRUE,TAN-185948KEI55-67,https://ikhebgeenideewaaroverditgaat.be/watiseen/tannumber,Er was eigenlijk nooit echt een legale context voor deze aanvraag. Ik verzon maar wat.,lotte@watiseenftpaccount.be,FALSE,MID,Dit is een voorbeeld van feedback.,TRUE,Hier staat wat uitleg over de architectuur. Een mooi diagrammetje met daarbij wat extra velden en commentaar op de 2de pagina.,,1,,TRUE,8.8.8.8,2001:4860:4860::8888,8.8.8.8/8,2001:4860:4860::8888/8,,FALSE,FALSE,FALSE,TRUE,Peter,Philip,Nina,TRUE,MAGDA_ONLINE_PRO,,,23
